_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2021_07_LILLE_MARSEILLE_ST_CHARLES;2021;7;National;LILLE;MARSEILLE ST CHARLES;299;228;0;23;1.2735061311009144;30;6.664438455505798;;30;43.69500000000001;13;8;30.00000000000002;6.666666666666665;3.333333333333332;10.0;6.666666666666667;43.33333333333333
2021_07_LYON_PART_DIEU_RENNES;2021;7;National;LYON PART DIEU;RENNES;234;87;1;52;4.79321705426357;14;15.295155038759702;;14;79.0035714285714;9;6;35.7142857142857;28.5714285714286;28.5714285714286;0.0;0.0;7.14285714285714
2021_07_PARIS_LYON_AVIGNON_TGV;2021;7;National;PARIS LYON;AVIGNON TGV;161;463;0;68;2.51623470122391;52;4.97537796976242;;40;42.5325;21;7;23.0769230769231;13.4615384615385;13.4615384615385;36.5384615384615;11.5384615384615;1.92307692307692
2021_07_PARIS_LYON_NICE_VILLE;2021;7;National;PARIS LYON;NICE VILLE;354;317;1;49;2.40268987341772;37;6.00406118143459;;37;44.3391891891892;22;11;45.9459459459459;10.8108108108108;8.10810810810811;21.6216216216216;8.10810810810811;5.40540540540541
2021_07_PARIS_MONTPARNASSE_ANGOULEME;2021;7;National;PARIS MONTPARNASSE;ANGOULEME;135;252;3;43;2.15622489959839;24;4.06961178045516;;19;36.0254385964912;10;1;8.33333333333333;12.5;4.166666666666671;12.5;20.8333333333333;41.6666666666667
2021_07_PARIS_MONTPARNASSE_BORDEAUX_ST_JEAN;2021;7;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146;930;8;215;2.77451193058568;109;4.85220535068693;;89;41.1996254681648;37;15;14.6788990825688;9.17431192660551;4.58715596330275;21.100917431192705;16.5137614678899;33.9449541284404
2021_07_PARIS_MONTPARNASSE_LA_ROCHELLE_VILLE;2021;7;National;PARIS MONTPARNASSE;LA ROCHELLE VILLE;180;228;3;26;1.45725925925926;27;5.25333333333333;;22;36.5454545454545;11;2;7.69230769230769;23.0769230769231;3.84615384615385;34.6153846153846;0.0;30.7692307692308
2021_07_PARIS_MONTPARNASSE_LE_MANS;2021;7;National;PARIS MONTPARNASSE;LE MANS;63;441;6;72;2.79099616858238;66;3.77310344827586;;31;48.6037634408602;16;8;13.6363636363636;9.09090909090909;13.6363636363636;22.727272727272695;24.2424242424242;16.6666666666667
2021_07_PARIS_MONTPARNASSE_QUIMPER;2021;7;National;PARIS MONTPARNASSE;QUIMPER;228;250;1;52;2.80251700680272;40;9.63265306122449;;40;58.2125;23;8;15.0;27.500000000000004;2.5;17.5;10.0;27.500000000000004
2021_07_PARIS_MONTPARNASSE_ST_PIERRE_DES_CORPS;2021;7;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;69;451;5;61;1.7914798206278102;51;3.9931240657697606;;29;44.1074712643678;17;6;4.0;18.0;20.0;28.000000000000004;10.0;20.0
